x_value	expr_jan	expr_gte	expr_tcgan
0.0	0	467	85
0.2	0	190	57
0.4	0	175	47
0.6	7	158	39
0.8	52	183	35
1.0	132	192	43
1.2	231	210	38
1.4	296	205	42
1.6	367	233	35
1.8	379	264	46
2.0	420	264	43
2.2	383	319	37
2.4	410	375	41
2.6	404	404	41
2.8	428	485	40
3.0	404	501	48
3.2	425	589	45
3.4	434	606	46
3.6	411	609	46
3.8	445	696	32
4.0	421	673	57
4.2	475	627	53
4.4	431	661	43
4.6	452	627	44
4.8	420	586	55
5.0	511	546	63
5.2	477	515	73
5.4	505	466	75
5.6	472	448	73
5.8	456	369	80
6.0	428	346	94
6.2	402	288	92
6.4	412	259	102
6.6	403	218	110
6.8	365	176	119
7.0	315	168	130
7.2	335	131	131
7.4	287	106	146
7.6	271	100	170
7.8	232	83	178
8.0	231	79	211
8.2	169	64	220
8.4	181	56	278
8.6	148	50	316
8.8	113	40	328
9.0	102	38	398
9.2	97	26	412
9.4	61	33	451
9.6	53	24	564
9.8	49	26	499
10.0	37	15	602
10.2	26	14	660
10.4	27	8	667
10.6	17	14	646
10.8	16	7	628
11.0	7	7	615
11.2	8	5	627
11.4	7	6	574
11.6	8	7	513
11.8	3	6	484
12.0	2	2	410
12.2	0	2	348
12.4	0	3	320
12.6	1	2	245
12.8	0	2	197
13.0	0	0	200
